AT1G06580.1	Q9SHK2
AT2G03090.1	O80622,A0A384LDZ7,A1KXV8
AT4G12600.2	F4JRD3
AT4G22380.1	A0A178UYN5,Q8LCC7
AT5G20160.2	F4K455
AT2G29100.1	O81078
AT2G29110.1	Q9C5V5
AT2G29120.1	Q8LGN0
AT3G17690.1	Q9LDR2,A0A5S9XDB4
AT3G17700.1	Q9LD37,A0A5S9XD41
AT1G55490.1	P21240,A0A178W724
AT3G13470.1	Q9LJE4
AT5G56500.1	C0Z361,A0A178UKH6
AT1G49760.1	Q9FXA2,A0A5S9WNH7
AT4G34110.1	P42731,A0A178UWB3
AT5G23010.1	Q9FG67,A0A654G3B2
AT5G23020.1	Q9FN52
AT1G52820.1	A0A654EHX8,Q9C936
AT4G03050.2	Q9ZTA1-1,A0A5S9XPS2
AT4G03070.1	Q9ZTA3
AT1G51210.1	A0A178W4X7,Q9SYC4
AT5G03490.1	Q9LZD8,A0A384LEC2,W8Q2V9
AT5G66610.2	F4K0N7
AT5G66620.1	Q9FJX8
AT5G66640.2	F4K0P2
AT2G39390.1	O80626,A0A178VS44
AT3G09500.1	Q9SF53,A0A178V980
AT3G55170.1	Q9M3D2
AT1G01390.1	Q8W4C2,A0A384L9J0,W8PVF7
AT1G01420.1	Q9LNI1,W8PW48
AT4G01070.1	Q9M156-1,W8Q313
AT2G20610.1	Q9SIV0-1
AT4G28410.1	A0A654FTV3,F4JL94
AT4G28420.2	Q67Y55-1,A0A5S9XX34
AT1G53080.1	Q9LNN3,A0A178W3S1
AT3G15356.1	Q9LJR2,A0A178VCY2
AT3G16530.1	Q9LK72,A0A654F7S5
AT5G03350.1	Q9LZF5
AT4G15400.1	O23393,A0A654FPI7
AT5G47980.1	Q9FI40
AT2G29460.1	Q9ZW27
AT2G29470.1	Q9ZW28,A0A5S9X2L7
AT2G29480.1	Q9ZW29
AT2G29490.1	Q9ZW30
AT1G29350.1	F4I1G1
AT1G29370.1	A0A178WAI2,Q8VZT4
AT5G06860.1	Q9M5J9,A0A178UBN4
AT5G06870.1	Q9M5J8,A0A178UDM1
AT2G28270.1	A0A178VWF4,Q9SL28
AT2G44380.1	A0A178VWA0,O64872
AT2G44390.1	O64873
AT5G43520.1	A0A5S9YAU3,Q9FIY8
AT1G22900.1	Q67YM6
AT1G65870.1	A0A5S9WSP5,Q9SS03
AT5G42500.1	A0A178UI08,Q9FIG7
AT5G42510.1	A0A654G7F0,Q9FIG6
AT1G61320.1	O64788
AT1G61330.1	O64787
AT2G32530.1	Q8RX83,W8PVM2
AT2G32540.1	O80891,W8Q3D1
AT2G32610.1	O80898,W8Q6Z4
AT2G32620.1	O80899
AT4G15290.1	Q0WT40,W8Q2Z8
AT2G31620.1	Q9SIP6,A0A178VYE1
AT3G21940.1	A0A5S9XEM7
AT3G21945.1	A0A654F9J7
AT3G22060.1	Q9LRJ9,A0A178V6U1
AT3G58310.1	Q9M2I5,A0A178V7P3
AT1G64650.1	Q6NLR2,A0A178W607
AT3G49310.1	A0A654FG54,Q9CA11
AT4G27720.1	Q9C5R0
AT3G28345.1	Q9LHD1
AT3G28360.1	Q9LSJ8
AT3G28380.1	Q9LSJ6
AT3G28390.1	Q9LSJ5
AT1G23530.1	A0A178WDI1,Q9ZUE1
AT1G70470.1	A0A178WKG3,Q9CAL7
AT1G64190.1	Q9SH69
AT3G02360.1	Q9FWA3,A0A178VK18
AT5G41670.1	Q9FFR3,A0A178UQL8
AT1G29020.1	F4HZU8
AT1G29025.1	A0A654EDT9,F4HZU9
AT2G34020.1	Q8GYU6
AT2G34030.1	F4IGU5
AT3G44300.1	P32962,A0A384LD03,Q1LYZ1
AT3G44310.1	P32961-1,A0A384KJ08,C0SVD5
AT3G44320.1	P46010,A0A178VEJ6
AT5G37200.1	Q9FG51
AT5G37220.1	F4K5X2
AT5G37230.1	A0A7G2FBU5,Q9FHU1
AT5G37250.1	F4K5X5
AT5G37270.1	Q9FHT8
AT5G37280.1	A0A654G5X4,Q9FHT7
AT4G05350.1	Q9M0W0
AT4G12140.1	Q9SZ79
AT4G12150.1	Q9SZ80
AT4G12190.1	A0A654FNG7,F4JQK3
AT4G12210.1	Q9STJ0
AT4G12220.1	A0A178V0M6,Q9STI9
AT1G72110.1	Q9C7H4
AT2G19220.1	O65915
AT3G11290.1	Q0WRG4
AT3G11300.1	F4J687
AT3G11310.1	Q9C771
AT5G05800.1	Q9FFJ8,A0A178UE54
AT5G25470.1	Q1PDT6
AT5G25475.4	F4JWT6
AT3G16870.1	Q9LIB5,A0A384L544,Q0WPA1
AT4G16141.1	A0A5S9XTK9,Q8GW81
AT3G07070.1	Q9SFT7,A0A178VBP0
AT4G13190.1	Q1PE89
AT1G17345.1	Q9LQI6,A0A178W2L8
AT1G72430.1	Q9C9E1,A0A178WLB5
AT2G41210.1	Q9SLG9,A0A178VQ77
AT3G56960.1	Q9M1K2
AT3G47000.1	Q9SD73
AT3G47010.1	Q9SD72
AT3G47040.2	F4JAB7
AT3G47050.1	Q9SD68
AT1G28450.1	Q9SGP3,A0A7G2DWL7
AT1G28460.1	Q9SGP4
AT1G29962.1	A0A7G2DU30,Q7XJK9
AT1G54760.1	A0A178WBF1,Q9ZVL8
AT2G21740.1	Q9SJ24,A0A178VXH0
AT2G21750.1	Q9SJ23,A0A7G2EC72
AT4G39340.1	Q9T039
AT3G21780.1	Q9LSY6,W8Q353
AT3G21790.1	Q9LSY5,A0A178VG15
AT3G21800.1	Q9LSY4,W8Q6R8
AT3G48570.1	Q9SMP2,A0A384L6E4,Q2HIR4
AT4G24920.1	P0DI74,P0DI75,A0A178UWJ6
AT5G50460.1	P0DI74,P0DI75,A0A178UWJ6
AT4G19880.2	F4JU03
AT5G44990.1	Q9FL98
AT5G45020.1	Q9FL95
AT2G17740.1	Q6NQN8,A0A178VXK4
AT2G44370.1	O64871
AT5G40590.1	A0A5S9Y9M9,Q9FM39
AT1G70110.1	O04534
AT1G70130.1	O04533
AT4G29050.1	Q9SZD5-1
AT5G15960.1	P18612,A0A178UK02
AT5G15970.1	P31169,A0A384KRF8,C0SVP9
AT5G38760.1	A0A654G642,Q9FKR1
AT5G53820.1	Q9FHZ4
AT4G24660.1	Q9SB61,A0A178UZW1
AT5G65410.1	Q9FKP8,A0A654GE99
AT4G12470.1	Q9SU35,A0A178UVB8
AT4G12480.1	Q39176,A0A178V1J0
AT4G12490.1	Q9SU34,A0A178URY1
AT4G12500.1	Q9SU33
AT1G51355.1	Q3ECS5,A0A178WGQ3
AT3G20898.1	F4IWB3
AT3G06035.1	Q84MC0,A0A384KMG2,Q0WSE0
AT5G19230.1	Q8GUL8,A0A654G2L5
AT5G19240.1	Q84VZ5
AT5G19250.1	P59833,A0A178U8I9
AT4G05590.2	Q8LD38-2
AT4G14695.1	Q8L7H8-1,A0A654FPP2
AT4G22310.1	O49636,A0A178USR1
AT5G08730.1	Q9C5A4,A0A178UEY0
AT3G06710.1	A0A5S9XAX9,Q6E260
AT4G32670.1	A0A654FV08,F4JV39
AT1G05340.1	O23035,A0A178W1D8
AT2G32190.1	Q9SKY1,A0A178VRS0
AT2G32200.1	Q1PEX8,A0A178VV61
AT2G32210.1	Q9SKX9,A0A178VLH4
AT1G30850.1	A0A7G2DX86,Q9SY31
AT2G34910.1	O64755
AT1G43800.1	Q84VY3
AT3G02630.1	Q9M879,A0A178VB94
AT5G16240.1	Q9LF04
AT3G02555.1	A0A654F3H9,Q8LF93
AT5G16110.1	Q9LF17
AT2G03760.1	P52839,A0A654ERP0
AT1G18835.1	Q2Q493,A0A178W7X3
AT1G74660.1	Q9CA51,A0A178WD69
AT2G36620.1	Q42347,A0A178W0L3
AT3G53020.1	P38666,A0A5S9XKB3
AT1G53830.1	Q42534
AT3G14310.1	O49006,A0A654F735
AT2G46330.1	O82337-1,A0A178VYP5
AT3G61640.1	Q9M373,A0A178V933
AT5G24105.1	Q8L9T8,A0A5S9Y6Z2
AT1G17400.1	Q58G53,A0A384KI90
AT1G72490.1	Q5XVG3
AT1G09580.1	Q6IDL4,A0A178WDT0
AT1G57620.1	Q9FVU0,A0A654EKJ6
AT1G23810.1	A0A178WGF3,Q9ZUB5
AT1G24060.1	Q1PFS7
AT1G24210.1	A0A178W7N3,Q8LCT6
AT1G24230.1	B2GVM8
AT1G24250.1	O48692
AT1G27240.1	A0A178W373,O04571
AT1G27260.1	F4HR62
AT1G27270.1	A0A5S9W198,Q9FZK9
AT1G27280.1	F4HR64
AT1G78520.1	A0A654EQ30,F4IA92
AT2G43660.2	F4IS25
AT2G43670.1	A0A178W317,Q6IDB5
AT3G28250.1	F4IZ13
AT3G28060.1	A0A2H1ZEJ3
AT3G28070.1	Q8VYZ7-1,A0A178VEW2
AT3G28080.1	F4IYZ0-1
AT3G28100.1	Q9LRS5
AT3G28130.2	Q56X95-1
AT2G29140.1	Q9ZW02
AT2G29190.1	Q9ZW06
AT2G29200.1	Q9ZW07
AT3G01230.1	A0A654F471,Q9MAD2
AT3G01240.1	A0A654FDJ4,Q9MAD3
AT1G22430.1	Q9SK86,A0A178WJG9
AT1G22440.1	Q9SK87
AT4G22110.1	Q0V7W6,A0A7G2F2P2
AT2G16580.1	Q9SI60,A0A654ETB6
AT4G34760.1	O65695,A0A178V1V7
AT2G23830.1	O82213,A0A178VNP8
AT2G45140.1	Q9SHC8,A0A178W0Q8
AT3G60600.1	Q8VZ95-1,A0A178VEY8
AT3G16720.1	Q8L9T5,A0A654FD72
AT4G35670.1	A0A178UV87,F4JN47
AT5G27530.1	F4K4C2
AT5G44830.1	Q9FIY9
AT5G44840.1	F4KBP8
AT1G15920.1	Q9S9P2,A0A5S9UMZ7
AT1G80780.3	A0A654F1Q3,F4HU15
AT2G32070.1	Q9SKZ2
AT1G29250.1	Q9LP53,A0A178W7M4
AT2G34160.1	O22969,A0A384LKD3,Q0V7R6
AT4G21585.1	F4JJL0,A0A654FRG3
AT4G21590.1	Q8LDW6,A0A5S9XUM0
AT4G21600.1	F4JJL3,A0A654FRK8
AT1G04970.1	Q9MAU5-1
AT3G20270.1	F4JDK0,A0A654FAW2
AT1G04540.1	F4I5P7
AT2G33320.1	A0A5S9X3I3,O22783
AT1G36730.1	Q9C8F1,A0A5S9WJD9
AT1G77840.1	Q9S825,A0A178W8M9
AT2G36340.1	Q9SJM4-1,A0A654EZF2
AT5G41530.1	Q9FFS7
AT5G12180.1	Q9FMP5,A0A178URQ6
AT5G19360.1	Q3E9C0
AT1G28640.1	A0A5S9WC49
AT1G28650.1	Q3E7I6
AT1G28660.1	Q9FPE4-1,A0A5S9WC90
AT1G28670.1	Q38894
AT3G15680.1	A0A384LKB8,Q9LW11
AT5G25490.1	A0A384KQC7,Q8GWD1
AT2G13790.1	Q9SKG5
AT2G13800.1	Q8LPS5
AT4G33430.2	F4JIX9
AT5G19100.1	A0A178UP54,Q3E9C8
AT3G19000.1	A0A384L8W2,Q9LJ66
AT3G19010.1	A0A384KDE3,Q9LJ65
AT2G30420.1	Q84RD1
AT2G30424.1	B3H4X8,A0A178VT13
AT2G30432.1	D3GKW6,A0A178VV20,A0A8A9WQN1
AT5G53200.1	Q8GV05,A0A178UFU9,A0A8A9WR90
AT1G13440.1	Q9FX54-1,A0A178W4Q5
AT3G04120.1	P25858,A0A654F3Y9
AT3G55110.1	Q9M2V5,A0A178VDI3
AT3G55130.1	Q9M3D6
AT4G17680.1	Q8L7G9
AT5G47050.1	Q9FJQ8
AT5G66440.1	A0A654GEQ9,Q9FJZ5
AT2G19770.1	Q38905,A0A5S9WZE7
AT4G29340.1	Q38904,A0A384KP50
AT3G03430.1	Q9SRP7,A0A178V9C2
AT5G17480.1	Q9LF54,A0A178UL83
AT3G53890.1	Q9M337,A0A178VG46
AT5G27700.1	Q3E902,A0A178UBS9
AT3G30280.1	Q9LI71
AT4G15390.1	A0A654FPL6,O23392
AT5G47950.1	Q9FGV4
AT1G07670.1	Q9XES1
AT1G07810.1	P92939
AT5G07310.1	Q9LY29,A0A654FZ46
AT5G61890.1	Q9FH54,A0A178UJI0
AT5G10520.1	Q8H1D6,A0A178UTT7
AT5G65530.1	F4KI00
AT4G31700.1	O48549-1,A0A654FUP3
AT5G10360.1	P51430-1,A0A178USM6
AT4G17870.1	O49686,A0A5S9XTK0
AT5G46790.1	Q8VZS8
AT1G18710.1	Q9M9U2,A0A178W4W9
AT5G45500.1	Q9FHI6
AT3G11780.2	F4J7G5
AT5G06480.1	A0A178UM37,Q9FG22
AT4G26610.1	Q9SUA3,A0A178V422
AT5G55910.1	Q9FG74,A0A178UEL3
AT2G19910.1	O82190
AT2G19920.1	O82189
AT2G19930.1	O82188
AT5G50200.1	Q9FGS5,A0A178UEV0
AT1G27400.1	Q93VI3,A0A654EDB7
AT1G67430.1	P51413-1,A0A384L9X3,Q0WRE5
AT2G18200.1	Q9ZPV3
AT2G18210.1	Q9ZPV4
AT4G36500.1	A0A654FW52,O23231
AT3G17010.1	Q9LSP6,A0A178VKY2
AT3G05380.2	Q6A333-2
AT5G27610.1	Q6A331
AT1G34190.1	Q9XIC5,A0A178WNW4
AT1G75750.1	P46689-1,A0A178W4S5
AT2G18420.1	F4IQJ4
AT5G14920.1	Q9LFR3-1
AT1G08080.1	Q8L817,A0A5S9T9F2
AT2G28210.1	A0A178VW72
AT1G67290.1	Q9FYG4,A0A178W3X1
AT5G19580.1	A0A178UMI2,F4K172
AT1G20960.1	Q9SYP1
AT2G42270.1	O48534
AT1G04300.3	A8MQL1-1
AT5G43560.1	Q8RY18-1
AT4G17690.1	O23609
AT5G47000.1	Q9FJR1,A0A654G8Z3
AT1G07160.1	F6LPR6,Q8RX37
AT2G30020.1	O80871,A0A5S9X2J0,F6LPR5
AT3G04720.1	P43082,A0A178VMU7
AT1G61570.1	Q9XH48,A0A178WLR5
AT5G50810.1	Q9XGY4,A0A654GA21
AT4G26630.1	Q9SUA1
AT5G55660.1	F4K4Y5
AT3G01270.1	Q9SRH4,A0A5S9X832,Q08A70
AT1G03445.1	Q9LR78,A0A178WIX8
AT4G03080.1	Q8L7U5,A0A654FLE0
AT1G20120.1	P0DKJ6
AT1G20130.1	P40602-1
AT1G20132.1	B3H6L2
AT5G07350.2	Q8VZG7-2
AT5G61780.1	Q9FLT0
AT3G10500.1	Q949N0,A0A178VIR2
AT5G04410.1	Q84K00
AT4G25820.1	Q9ZSU4,A0A178UTG4
AT5G57530.1	Q9FKL9,A0A178UMJ6
AT5G57540.1	Q9FKL8,A0A654GC38
AT5G20290.1	Q93VG5,A0A178UCD3
AT5G59240.1	Q0WSK1,Q9FIF3,A0A384LK73
AT1G04000.1	A0A178WMX4,Q9ZWC0
AT5G44060.1	Q9FNC0
AT1G61610.1	Q9SY89,A0A178W8X6
AT4G21390.1	O81906,A0A178USE7
AT5G57020.1	Q9LTR9,A0A178UUQ9
AT5G10750.1	A0A654G005,Q9LEW4
AT5G24990.1	Q94AK1
AT5G25010.1	Q3E7D9
AT5G25020.1	F4KIL6
AT3G29000.1	Q9MBG5
AT5G39670.1	Q93Z27,A0A178UPR1
AT1G07400.1	Q9LNW0,A0A178WJ08
AT1G59860.1	Q9XIE3,A0A178W5H0
AT2G29500.1	Q9ZW31,A0A178VX53
AT3G48510.1	A0A384KYS8,Q9SMP6
AT5G63350.1	Q9FGW7,A0A654GDV9
AT1G50350.1	A0A178WKE4,F4I506
AT3G19950.1	Q8LPN7,A0A178VDZ4
AT3G04810.1	Q9CAU7,A0A178V8L3
AT5G28290.1	Q8RX66,A0A178UI68
AT3G06760.2	A0A654F4S1,F4JC45
AT5G49230.1	Q9FJ17,A0A178UMS2
AT5G55050.1	Q9FIA1
AT1G11125.1	A0A178WA10,F4I7D8
AT1G61170.1	O22729
AT2G25650.1	Q8VYD2
AT4G00270.1	Q9ASZ1,A0A178UT32
AT1G28040.1	Q9C7E9
AT2G46493.1	A0A5S9X7I4
AT2G46494.1	P0CH02,A0A5S9X8A3
AT2G46495.1	P0CH01,A0A178VPW8
AT2G25590.1	Q9SLA4
AT4G32440.2	A0A654FUU8,Q0WP65
AT1G59560.1	Q94HV7
AT1G63900.2	F4I570
AT2G16770.1	Q8GTS2,A0A5S9WYH7
AT4G35040.1	Q8VY76,A0A178UVU8
AT1G11340.1	Q9ZT07
AT1G11410.1	Q9LPZ3,A0A654E8X4
AT1G06960.1	Q8H1S6-1,A0A178WJB3
AT2G30260.1	O22922,A0A654F858
AT2G47580.1	Q39244,A0A178VZ67
AT4G19450.1	Q8H132
AT5G45275.1	F4KD53
AT2G24400.1	A0A178VSZ5,Q9ZQ28
AT4G31320.1	A0A178V510,O49581
AT1G28270.1	Q9FZA0,A0A178WK76
AT2G33775.1	Q6NME6,A0A178VTZ9
AT2G30210.1	Q56YT0,A0A5S9X2S3
AT5G07130.1	Q9LYQ2,A0A178URY6
AT2G02930.1	Q9SLM6
AT4G02520.1	P46422,A0A178V0A3
AT2G17150.1	Q8H111-1
AT4G35270.1	Q7X9B9,A0A178UYT3
AT1G24300.1	F4I983
AT1G27430.1	F4HSW8
AT4G09930.1	Q9T0F2
AT4G09940.1	Q9T0F3
AT4G09950.1	Q9T0F4,A0A7G2EX22
AT4G10810.1	Q9SN67
AT4G24026.1	Q0WQ09
AT1G53870.1	Q67XV7-1,Q8LG32
AT1G53890.3	F4HTE5
AT3G14260.1	A0A178VCK0,Q9LUM1
AT3G28710.1	Q9LJI5,A0A178VK72
AT3G28715.1	Q9LHA4-1,A0A178VAM3
AT1G51400.1	Q9SYE2,A0A178WMH6
AT3G21055.1	Q39195,A0A178VNK7
AT4G25670.1	A0A654FSQ5,Q94BX3
AT4G25690.1	A0A178UW84,Q9SZZ7
AT5G52550.1	Q940C2
AT1G04220.1	Q5XEP9,A0A178WF97
AT5G43760.1	Q9FG87,A0A178UE45
AT5G43090.1	Q9FMH4,A0A7G2FFE3
AT5G43110.1	Q4PSD1
AT1G78660.1	Q9SYL6-1
AT1G78670.1	Q9ZV85,A0A178W3E6
AT1G78680.1	O65355-1
AT3G24780.1	Q1PEM2
AT5G13210.1	Q9LYV5
AT1G06200.1	Q8W476
AT2G31140.1	Q84VZ6,A0A5S9X2V5
AT3G04860.1	A0A384L5C8,Q9CAV2
AT5G28150.1	A0A5S9Y818,Q8RX84
AT2G17320.1	A0A178VQN4,B9DH75
AT2G17340.1	Q949P3
AT4G35360.1	A0A654FVS7,Q8W4Q1
AT1G11510.1	C0SUU6,A0A654E914
AT3G29035.1	Q9LJW3
AT5G39610.1	Q9FKA0,A0A654G6C9
AT1G17170.1	Q9SHH6
AT1G17180.1	Q9SHH7,A0A178W2G2
AT3G50920.1	F4J220-1,A0A654FEQ1
AT5G66450.1	Q6NQL6-1
AT4G04620.1	Q9XEB5,A0A178V3P6
AT4G21980.2	A8MS84
AT1G54220.1	Q5M729,A0A178W5Y1
AT3G13930.1	Q8RWN9
AT1G49700.1	F4I3C6
AT2G11620.1	Q9SIF7
AT2G11623.1	F4ISC4
AT2G29605.1	F4ILK1
AT2G29850.1	F4ILN4
AT3G45800.1	F4J6S0
AT4G07675.1	F4JGJ8
AT4G11020.1	Q9SN53
AT4G23870.1	A0A178UWS4,Q9T0A2
AT4G08990.1	Q9M0S8
AT4G13610.1	Q9T0I1
AT4G14140.2	O23273-2
AT5G49160.1	P34881,A0A178UE49
AT1G64210.1	Q9SH71
AT5G41680.1	Q3E8J4-1
AT3G23805.1	Q9LK37,A0A178VCM2
AT4G13950.1	Q2HIM9,A0A654FP46
AT4G11880.1	Q38838
AT4G22950.1	O82743,A0A178V3F3
AT4G20830.1	Q9SVG4-1
AT4G20840.1	Q9SVG3,A0A178UZ42
AT2G22795.1	F4IKG5
AT4G37820.1	Q9T069,A0A384LNS6
AT2G17190.1	Q9SII9,A0A5S9WYW7
AT2G17200.1	Q9SII8,A0A654EYL8
AT3G23540.1	A0A5S9XFC1,Q6NKN2
AT4G14290.1	A0A178UVN8,F4JUP6
AT3G50930.1	Q8VZG2
AT3G50940.1	Q147F9
AT3G59070.1	Q9LYS9
AT5G48750.1	A0A178UEK7,Q9FKC1
AT3G11700.1	Q93W32,A0A178VEM3
AT5G06390.1	Q66GR0
AT1G22015.1	Q9LM60,A0A384KFJ9,W8Q3R8
AT1G77810.1	A0A384KKT7,W8QP14
AT3G48740.1	Q9SMM5,A0A178VKV1
AT5G23660.1	O82587
AT1G14330.1	A0A178WKY8,Q9M9S9
AT2G02870.1	Q8L736,A0A178VU91
AT1G52880.1	Q9ZNU2,A0A178W6K4
AT3G15510.1	Q9LD44,A0A654F8J1
AT3G09600.1	Q8RWU3-1,A0A5S9XAT1
AT5G02840.1	Q6R0G4-1,A0A178U8Z5
AT2G39960.1	A0A178VMY0,P58684
AT4G04200.1	F4JGB4
AT1G23830.1	A0A178W9A8,Q9ZUB2
AT1G23840.1	A0A178WNH6,Q9ZUB1
AT1G23850.1	A0A178WH01,Q9LRA9
AT1G49230.1	Q6NQG7
AT1G12560.1	Q9LN94,A0A178W749
AT1G62980.1	Q9LQ07,Q0WT83
AT3G24280.1	Q1ECS0,A0A654FA64
AT4G13520.1	Q9T0H2,A0A178UU77
AT3G10860.1	Q9SG91,A0A384LQF6
AT5G05370.1	Q9FLB7,A0A178UEI2
AT2G46160.1	O82353,A0A178VQ79
AT3G61550.1	Q9M313
AT1G12260.1	Q9FWX2,A0A5S9U0P1
AT1G62700.1	F4HYV5
AT1G31940.1	A0A178W8X8,Q8VYV3
AT2G35585.1	A0A178VY03,Q8S8M7
AT3G24020.1	A0A178V7A9,Q7Y225
AT4G13580.1	Q9T0H8
AT4G24330.1	Q9STW1
AT5G49945.1	Q94CC0
AT2G40095.1	Q8GZ10
AT3G55880.2	A0A384LHH2,Q8L7D8
AT5G60130.1	Q9LVG1-1,A0A654GCN9
AT5G60140.1	Q9FHB0,A0A654GD39
AT5G60142.1	Q9LST3,A0A654GCT5
AT3G05130.1	A0A384LHG5,Q9MAA6
AT5G27330.1	F4K498,A0A654G4T2
AT1G75910.1	Q0WUV7,A0A178WJM0
AT1G75920.1	F4I0R0
AT1G75930.1	Q93X94,A0A178WL29
AT1G12820.1	Q9LPW7,A0A178WFK2
AT3G26810.1	Q9LW29,A0A178VGF7
AT4G25470.1	Q9SYS6,B2BIW9
AT4G25480.1	Q9M0L0,A0A384KFV8,B2BIZ3
AT4G25490.1	P93835,B6DTR3
AT2G15050.1	A0A178VZ65,Q9ZUK6-1
AT2G38530.1	Q9S7I3,A0A178W063
AT2G38540.1	Q42589,A0A178VZQ3
AT3G48780.1	Q9M304,A0A654FFZ0
AT3G48790.1	A0A5S9XJ68,F4JF53
AT5G23670.1	Q9LSZ9
AT1G45145.1	Q39241,A0A178WEQ7
AT5G42980.1	Q42403,A0A178U9K5
AT5G48630.2	F4K359
AT5G48640.1	Q9FJK6,A0A654G975
AT1G01380.1	Q9LNI5,A0A178WDR4
AT4G01060.1	Q9M157-2
AT5G38690.1	Q8RW95
AT1G50640.1	O80339-1,A0A7G2E011,C0SV01
AT3G20310.1	Q9LDE4,A0A178VH38
AT3G02810.1	Q9M8S2,A0A654F4X6
AT5G16500.1	Q1PDW3
AT1G15400.3	Q9XI29-1
AT1G80180.1	Q9SSC1,A0A178WF83
AT1G63300.1	Q9C8T4
AT5G41140.1	Q9FLL5
AT5G10625.1	Q9LXB5,A0A178UCF2
AT5G24860.1	O23624,A0A178UKX8
AT1G55475.1	A0A384L4Y1,Q940A5
AT3G13480.1	A0A654F6S6,F4JDC7
AT3G11320.1	Q5XF09,A0A654F771,I1VCA5
AT5G05820.1	Q6DBP3,A0A178UB06
AT2G42260.1	O48533
AT3G57860.1	Q9M2R1,A0A178VGZ1
AT1G54215.1	A0A178WLJ6,Q3ECQ3
AT2G20450.1	Q9SIM4,A0A178VNY3
AT4G27090.1	Q9T043,A0A384KMY9,B9DHP0
AT3G48050.1	F4JCS8
AT3G48060.1	Q9SU69
AT2G18328.1	Q1G3C4,A0A178VVV7
AT2G44670.1	O80506,A0A178VTM1
AT1G20650.1	Q9LDZ5,A0A178W8H8
AT1G76370.1	Q9SFX0,A0A178WI22
AT4G27180.1	P46864,A0A178UZY6
AT5G54670.1	P46875,A0A178UTF4
AT4G18195.1	A0A654FQF5,Q0WRB9
AT4G18197.1	Q2V3H2,A0A178UX10
AT4G18205.1	Q8RY74,A0A654FQI8
AT4G18210.1	O49725
AT4G18220.1	A0A7G2F1Q1,O49726
AT2G46490.1	A0A178VYA5,Q9ZPZ0
AT5G35110.1	A0A178UHX4,Q9FYR1
AT1G15860.3	F4I181
AT2G16500.1	Q9SI64,A0A654ETA4
AT4G34710.1	O23141,A0A654FVJ1
AT2G15000.4	A0A384LJ92,A8MR87
AT4G34265.1	A0A384KSA7,Q8LC44
AT1G26160.1	A0A178WK68,Q93ZV1
AT2G23820.2	Q6DBH4
AT3G59700.1	Q96285
AT3G59730.1	Q9LEA3
AT3G59740.1	Q9ZR79
AT3G59750.1	Q9M1Z9
AT3G27970.1	B3LFC1
AT5G40310.1	Q9FNE7
AT1G67035.2	Q5BPW2
AT5G38300.1	A0A654G680,Q1ECL9
AT5G61700.1	Q9FLT8
AT5G61740.1	Q9FLT4
AT1G34650.1	Q9S9Z0
AT5G17320.1	Q9FFI0,A0A654G1Z4
AT3G28857.1	Q9LJX1,A0A178V8X2
AT5G39860.1	Q9FLE9,A0A178UFD8
AT2G28850.1	Q9ZV29
AT2G28860.1	Q9ZV28
AT2G34490.1	O64698,A0A178VT37
AT2G34500.1	O64697,A0A178VRK5
AT1G31180.1	Q9SA14,A0A178W4A1
AT1G80560.1	P93832,A0A654EQQ6
AT5G14200.1	Q9FMT1-1,A0A384KB83,Q5XF32
AT4G31615.1	Q3E9T2-1
AT4G31620.1	A0A384KNK9,G0XQD3
AT4G31630.1	Q9SB79
AT1G48770.1	A0A384KU91,Q9C745
AT3G18295.1	A0A5S9XDF9,Q9LS61
AT5G12310.1	A0A654G0H9,Q94CL1
AT5G19430.1	Q9ASY3
AT1G64300.1	Q944S4
AT5G41730.1	Q9FGG5
AT2G07040.1	Q84JQ4
AT5G35390.1	C0LGU0
AT1G24140.1	Q5XF51
AT1G70170.1	O04529,A0A178WK53
AT2G46690.1	Q9ZUZ3,A0A178VXT2
AT3G61900.1	Q9M275
AT4G20390.1	Q9SUP0
AT5G44550.1	Q9FI10
AT2G17870.1	Q94C69
AT4G36020.1	O65639
AT3G02780.1	Q42553,A0A5S9X8V2
AT5G16440.1	Q38929-1,A0A5S9Y4N3
AT3G27300.1	Q9LK23,Q5E919
AT5G40760.1	Q9FJI5,A0A384LPG4,Q0WSL0
AT4G34131.1	Q8W491,W8Q6H7
AT4G34135.1	Q94C57-1
AT5G13930.1	P13114-1,A0A384KNE5,Q460R0
AT3G27830.1	P36210,A0A178VJ19
AT3G27850.1	P36212,A0A5S9XGA9
AT1G05420.1	F4I8R6,A0A178WNG4
AT2G32100.1	Q9SKY9,A0A178W325
AT3G22970.1	Q9LIJ8
AT4G14620.1	A0A654FP98,Q8L7H9
AT1G28395.1	A0A178WNU6,Q8LEQ7
AT2G33847.1	A0A178W0V7,Q1G3S4
AT4G39640.1	Q8VYW6,A0A178UXW6
AT4G39650.1	Q680I5
AT1G31690.1	F4IAX0
AT1G31710.1	F4IAX1-1
AT1G07870.2	F4HSH9
AT2G28590.1	Q9SIB6
AT4G27580.1	A0A178UXA1,Q8L9A7
AT5G54095.1	Q681J0
AT2G44230.1	A0A654F1S3,O64858
AT2G44260.2	Q3EBG3
AT2G14580.1	Q9ZNS4,A0A178VYM3
AT2G14610.1	P33154
AT2G16280.1	Q9SIX1
AT4G34510.1	O65677,A0A178UZI2
AT3G51330.1	A0A384KQ53,Q84WU7
AT3G51340.1	F4J3B9
AT3G51350.1	A0A384LH91,F4J3C0
